c_square,year,mid_lat,mid_lon,Reported,fishing_ho
Russian EEZ,0,0,0,No,0
1501:371:237:2,2010,57.325,11.775,Yes,55.366667
1501:371:237:3,2010,57.375,11.725,Yes,174.5
1501:371:237:4,2010,57.375,11.775,Yes,35.1
1501:371:238:1,2010,57.325,11.825,Yes,10.066667
1501:371:238:2,2010,57.325,11.875,Yes,1
1501:371:239:1,2010,57.325,11.925,Yes,1.033333
1501:371:239:2,2010,57.325,11.975,Yes,13.233333
1501:371:245:1,2010,57.425,11.525,Yes,108.6
1501:371:245:2,2010,57.425,11.575,Yes,127.366667
1501:371:245:3,2010,57.475,11.525,Yes,91.633333
1501:371:245:4,2010,57.475,11.575,Yes,65.4
1501:371:246:1,2010,57.425,11.625,Yes,124.566667
1501:371:246:2,2010,57.425,11.675,Yes,120.166667
1501:371:246:3,2010,57.475,11.625,Yes,168.066667
1501:371:246:4,2010,57.475,11.675,Yes,145.033333
1501:371:247:1,2010,57.425,11.725,Yes,138.133333
1501:371:247:2,2010,57.425,11.775,Yes,148.3
1501:371:247:3,2010,57.475,11.725,Yes,78.433333
1501:371:247:4,2010,57.475,11.775,Yes,50.566667
1501:371:248:3,2010,57.475,11.825,Yes,1
1501:371:350:1,2010,57.525,11.025,Yes,200.416667
1501:371:350:2,2010,57.525,11.075,Yes,179.833333
1501:371:350:3,2010,57.575,11.025,Yes,155.716667
1501:371:350:4,2010,57.575,11.075,Yes,196.188889
1501:371:351:1,2010,57.525,11.125,Yes,199.066667
1501:371:351:2,2010,57.525,11.175,Yes,185.533333
1501:371:351:3,2010,57.575,11.125,Yes,175.383333
1501:371:351:4,2010,57.575,11.175,Yes,164.788889
1501:371:352:1,2010,57.525,11.225,Yes,106.466667
1501:371:352:2,2010,57.525,11.275,Yes,30.233333
1501:371:352:3,2010,57.575,11.225,Yes,207.5
1501:371:352:4,2010,57.575,11.275,Yes,195.105556
1501:371:353:1,2010,57.525,11.325,Yes,133.433333
1501:371:353:2,2010,57.525,11.375,Yes,306.033333
1501:371:353:3,2010,57.575,11.325,Yes,212.466667
1501:371:353:4,2010,57.575,11.375,Yes,337.433333
1501:371:354:1,2010,57.525,11.425,Yes,306.533333
1501:371:354:2,2010,57.525,11.475,Yes,256.766667
1501:371:354:3,2010,57.575,11.425,Yes,250.533333
1501:371:354:4,2010,57.575,11.475,Yes,204.233333
1501:371:360:1,2010,57.625,11.025,Yes,146.533333
1501:371:360:2,2010,57.625,11.075,Yes,199.777778
1501:371:360:3,2010,57.675,11.025,Yes,259.683333
1501:371:360:4,2010,57.675,11.075,Yes,301.588889
1501:371:361:1,2010,57.625,11.125,Yes,163.1
