BHI_ID,hours_per_area
1,6.68318409062036
2,2.95793584576637
3,0.636433936212306
4,2.4055895302867
5,0.319986286472901
6,0.357512164780222
7,2.44541177898653
8,1.22596104243787
9,0.44190313633044
10,1.45053546679025
11,1.38565935072443
12,0.869524570672896
13,1.24088752267384
14,0.767127823360814
15,3.94373622395809
16,0.695259629000096
17,2.05703462816955
18,1.84482389036668
19,0.0871128237984082
20,0.1214511730928
21,3.82276826827762
22,0.220880596461572
23,1.58050772272109
24,0.0918207593932618
25,0.00568273848403864
26,0.058891680357137
27,0.0237680700317627
29,0.00429223380744847
30,0.00151016657744372
31,0.00111285650734585
32,0
33,0
34,0
37,0.0336411779039785
