c_square,year,mid_lat,mid_lon,Reported,fishing_ho
Russian EEZ,0,0,0,No,0
1501:455:112:2,2011,55.125,15.275,Yes,12.1
1501:455:112:3,2011,55.175,15.225,Yes,14.95
1501:455:112:4,2011,55.175,15.275,Yes,4.033333
1501:455:113:1,2011,55.125,15.325,Yes,14.288889
1501:455:113:2,2011,55.125,15.375,Yes,33.538889
1501:455:113:3,2011,55.175,15.325,Yes,6.133333
1501:455:113:4,2011,55.175,15.375,Yes,6
1501:455:114:1,2011,55.125,15.425,Yes,57.061111
1501:455:114:2,2011,55.125,15.475,Yes,76.344444
1501:455:114:3,2011,55.175,15.425,Yes,34.95
1501:455:114:4,2011,55.175,15.475,Yes,132.177778
1501:455:120:1,2011,55.225,15.025,Yes,8.016667
1501:455:120:2,2011,55.225,15.075,Yes,16.316667
1501:455:120:3,2011,55.275,15.025,Yes,21.7
1501:455:120:4,2011,55.275,15.075,Yes,17.866667
1501:455:121:1,2011,55.225,15.125,Yes,19.638889
1501:455:121:2,2011,55.225,15.175,Yes,17.511111
1501:455:121:3,2011,55.275,15.125,Yes,13.088889
1501:455:121:4,2011,55.275,15.175,Yes,2
1501:455:122:1,2011,55.225,15.225,Yes,2.95
1501:455:122:2,2011,55.225,15.275,Yes,1
1501:455:122:3,2011,55.275,15.225,Yes,1
1501:455:122:4,2011,55.275,15.275,Yes,15.894444
1501:455:123:1,2011,55.225,15.325,Yes,10.5
1501:455:123:2,2011,55.225,15.375,Yes,63.188889
1501:455:123:3,2011,55.275,15.325,Yes,36.711111
1501:455:123:4,2011,55.275,15.375,Yes,12.816667
1501:455:124:1,2011,55.225,15.425,Yes,113.827778
1501:455:124:2,2011,55.225,15.475,Yes,65.8
1501:455:124:3,2011,55.275,15.425,Yes,12.466667
1501:455:124:4,2011,55.275,15.475,Yes,15.772222
1501:455:130:1,2011,55.325,15.025,Yes,27.833333
1501:455:130:2,2011,55.325,15.075,Yes,35.344444
1501:455:130:3,2011,55.375,15.025,Yes,109.088889
1501:455:130:4,2011,55.375,15.075,Yes,66.005556
1501:455:131:1,2011,55.325,15.125,Yes,4.988889
1501:455:131:2,2011,55.325,15.175,Yes,1
1501:455:131:3,2011,55.375,15.125,Yes,5.922222
1501:455:131:4,2011,55.375,15.175,Yes,0.316667
1501:455:132:1,2011,55.325,15.225,Yes,3.355556
1501:455:132:2,2011,55.325,15.275,Yes,15.044444
1501:455:132:3,2011,55.375,15.225,Yes,2.033333
1501:455:132:4,2011,55.375,15.275,Yes,2
1501:455:133:1,2011,55.325,15.325,Yes,3.316667
1501:455:133:2,2011,55.325,15.375,Yes,5.033333
1501:455:133:3,2011,55.375,15.325,Yes,1
1501:455:133:4,2011,55.375,15.375,Yes,1.033333
1501:455:134:1,2011,55.325,15.425,Yes,3.066667
1501:455:134:2,2011,55.325,15.475,Yes,4.033333
1501:455:134:3,2011,55.375,15.425,Yes,3.033333
