basin_abb_baltsem;basin_name_baltsem;basin_name_holas;salin_bottom_depth
AR;Arkona Basin;Arkona Basin;50
AR;Arkona Basin;Bay of Mecklenburg;50
BB;Bothnian Bay;Bothnian Bay;110
BN;Bornholm Basin;Bornholm Basin;97
BN;Bornholm Basin;Gdansk Basin;97
BS;Bothnian Sea;Aland Sea;220
BS;Bothnian Sea;Bothnian Sea;220
BS;Bothnian Sea;The Quark;220
CK;Central Kattegat;Kattegat;125
FB;Fehmarn Belt;Kiel Bay;65
GF;Gulf of Finland;Gulf of Finland;85
GR;Gulf of Riga;Gulf of Riga;50
GS;Gotland Sea;Eastern Gotland Basin;250
GS;Gotland Sea;Northern Baltic Proper;250
GS;Gotland Sea;Western Gotland Basin;250
NK;Northern Kattegat;;100
OS;Oeresund;The Sound;45
SB;Samsoe Belt;Great Belt;55
SK;Southern Kattegat;;70
