basin_abb_baltsem;basin_name_baltsem
NK;Northern Kattegat
CK;Central Kattegat
SK;Southern Kattegat
SB;Samsoe Belt
OS;Oeresund
FB;Fehmarn Belt
AR;Arkona Basin
BN;Bornholm Basin
GS;Gotland Sea
GF;Gulf of Finland
GR;Gulf of Riga
BS;Bothnian Sea
BB;Bothnian Bay
